Codice Utente;Ragione Sociale;Attivazione N.;Data Attivaz;Release;Numero C.A.L.;Descrizione prodotto;Ha personalizzazioni;ACQT;ADKF;ADPK;AUDT;BAII;BAPL;BARC;BICO;CASH;CFIN;CFUL;COAN;COMF;COMM;CONA;CONF;CONT;COPR;CRED;CSPT;DIST;EATT;EDU1;ELSR;FISC;IBCO;INPC;INSP;INTR;LIBR;LOTT;MAGA;MAIF;MAIL;MANM;MDOC;MDPS;MIGR;OPOR;ORCL;ORFO;OSLL;OSLS;PACK;PCKF;PRPA;PRZA;PRZB;PRZP;RAEE;SCHD;SCOM;SERD;SEVR;SFMG;SOSC;TRKF;TRPK;UBIC;VARI;VEDT;WMAA;WMAD;WMRF;XBRL;XGAT
4362;FRATELLI IVALDI S.R.L.;104;26/10/2018;3.14.5.0520;4;Mago.Net PRO All Database;Si;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;
8989;FRATELLI MONTALDO S.A.S. DI MONTALDO JACOPO & C.;6;02/08/2010;2.13.3.20100120;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;
22028;FRATELLI TOSSINI SRL;294;23/10/2018;3.14.4.0335;24;Mago.Net ENT All Database;Si;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22662;FRIGO GENOVA S.R.L.;14;01/03/2018;3.14.4.0335;10;Mago.Net PRO All Database;Si;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;;;X;;X;;;;;;;
1215;G. CRESPI & FIGLI SRL;13;26/04/2007;2.7.2.20070413;7;Mago.Net PRO Powered by SQL Server;No;X;;;;;;;;;;;;;;;;;X;;X;X;;;;;;;;X;;X;;;X;;;;X;;X;X;;;X;;;;;;;;;;;X;;;;;;;;;;;
8885;G. TRACQ DI A. POZZO;3;03/03/2006;2.1.3.20060124;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2183;GASLINI ALBERTI DOTT. FILIPPO AG. GEN. FONDIARIA - SAI S.P.A.;24;29/08/2017;3.14.4.0335;3;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;D;;;;;;;;X;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
16068;GASLINI BAND BAND;2;05/06/2007;2.9.1.20071114;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
294;GENAKER SRL;8;06/06/2011;3.5.5.0014;2;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8891;GENERAL VACUUM SRL;9;06/06/2011;3.2.6.20;1;Mago.Net PRO Powered by MSDE;No;X;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;D;;X;X;D;;;;;;;;;;;;;;;;;;;;;;;;
19393;GENOVA QUALITA' AZIENDA SPECIALE CAM.COMM.GENOVA;4;16/10/2014;3.11.3.0029;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
22943;GENOVA TRASPORTI COOP. DI PROD. E LAV A R.L.;1;07/04/2015;3.12.9.0007;2;Mago.Net PRO Powered by MSDE;No;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
10562;GIEMME S.A.S;5;27/04/2012;3.6.2.0030;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5800;GIUSEPPE SANTORO SRL;58;16/02/2018;3.14.4.0335;7;Mago.Net PRO All Database;Si;X;;;;;;;;;;;X;;;;;;X;;;;;;;X;;;;;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;X;;;;;;;;;;;X
